Sentence #,Word,POS,Tag
Sentence: 1,Tiñiqi,NNS,B-ORG
,(,NNS,O
,'cilindro,NNS,O
,',NNS,O
,),NNS,O
Sentence: 2,Lluq'i,NNS,B-LOC
,',NNS,O
,(,NNS,O
,Kageneckia,NNS,O
,lanceolata,NNS,O
,),NNS,O
,',NNS,O
Sentence: 3,Uma,NNS,B-LOC
,llaqtanqa,NNS,I-LOC
,Salem,NNS,B-LOC
,llaqtam,NNS,O
,.,NNS,O
Sentence: 4,María,NNS,B-PER
,Eva,NNS,I-PER
,Duarte,NNS,I-PER
Sentence: 5,*Awqaylli,NNS,O
,Panaka,NNS,O
,(,NNS,O
,Yawar,NNS,B-PER
,Waqaqpa,NNS,I-PER
,panakan,NNS,O
,),NNS,O
,.,NNS,O
Sentence: 6,Manuripi-Heath,NNS,B-ORG
,Amarumayu,NNS,I-ORG
,sallqa,NNS,I-ORG
,kawsay,NNS,I-ORG
,mamallaqta,NNS,I-ORG
,risirwa,NNS,I-ORG
Sentence: 7,',NNS,O
,Real,NNS,B-ORG
,Madrid,NNS,I-ORG
,',NNS,O
,.,NNS,O
Sentence: 8,George,NNS,B-PER
,Walker,NNS,I-PER
,Bush,NNS,I-PER
Sentence: 9,pusapuna,NNS,O
,Mamallaqtapura,NNS,B-ORG
,Huñu,NNS,I-ORG
,Sallqa,NNS,I-ORG
,Pachata,NNS,I-ORG
,Sallqapi,NNS,I-ORG
,Kaqkunata,NNS,I-ORG
,Amachanapaq,NNS,I-ORG
Sentence: 10,Tukuy,NNS,B-ORG
,runakunap,NNS,I-ORG
,qhapaq,NNS,I-ORG
,kaynin,NNS,I-ORG
Sentence: 11,Kutupaksi,NNS,B-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 12,Uma,NNS,B-LOC
,llaqtanqa,NNS,I-LOC
,Morelia,NNS,B-LOC
,llaqtam,NNS,O
,.,NNS,O
Sentence: 13,PUSAPUNA,NNS,O
,Noemi,NNS,B-PER
,(,NNS,I-PER
,takiq,NNS,I-PER
,),NNS,I-PER
Sentence: 14,Lupuna,NNS,B-LOC
,'Ceiba,NNS,O
,pentandra,NNS,O
,',NNS,O
Sentence: 15,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,2006,NNS,I-ORG
Sentence: 16,PUSAPUNA,NNS,O
,Huwan,NNS,B-PER
,Pawlu,NNS,I-PER
,II,NNS,I-PER
Sentence: 17,Runasimita,NNS,O
,chay,NNS,O
,qillqasqakunanpi,NNS,O
,suticharqa,NNS,O
,Qhichwa,NNS,B-ORG
,sutiwan,NNS,O
,.,NNS,O
Sentence: 18,.,NNS,O
,',NNS,O
,Binidiktu,NNS,B-PER
,III,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 19,Ayakuchu,NNS,B-LOC
,Pampa,NNS,I-LOC
,willkachasqa,NNS,I-LOC
,ñawpa,NNS,I-LOC
,suyu,NNS,I-LOC
Sentence: 20,.,NNS,O
,',NNS,O
,Nicolás,NNS,B-PER
,Lindley,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 21,Atipaq,NNS,O
,-,NNS,O
,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,2014,NNS,I-ORG
Sentence: 22,Berti,NNS,B-PER
,Vogts,NNS,I-PER
,-,NNS,O
,3,NNS,O
,.,NNS,O
Sentence: 23,PUSAPUNA,NNS,O
,T'utura,NNS,B-LOC
,munisipyu,NNS,I-LOC
,(,NNS,I-LOC
,Quchapampa,NNS,I-LOC
,),NNS,I-LOC
Sentence: 24,.,NNS,O
,',NNS,O
,Kofi,NNS,B-PER
,Annan,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 25,PUSAPUNA,NNS,O
,Manu,NNS,B-ORG
,mamallaqta,NNS,I-ORG
,wari,NNS,I-ORG
,kancha,NNS,I-ORG
Sentence: 26,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1998,NNS,I-ORG
